"Control Deficiency Risk Crosswalk
(possible risks associated with a control deficiency)",,,,,,,,,Inability to maintain individual accountability,Improper assignment of privileged functions ,Privilege escalation,Unauthorized access,"Lost, damaged or stolen asset(s)",Loss of integrity through unauthorized changes,Business interruption,Data loss / corruption,Reduction in productivity,Information loss / compromise due to technical attack,Information loss /compromise due to non‐technical attack ,Loss of revenue,Cancelled contract,Diminished competitive advantage,Diminished reputation ,Fines and judgements ,Unmitigated vulnerabilities,System compromise ,Inability to support business processes,Incorrect controls scoping,Inadequate internal practices ,Inadequate third-party practices ,Lack of oversight of internal controls ,Lack of oversight of third-party controls ,Lack of roles & responsibilities ,Illegal content or abusive action ,Inability to investigate / prosecute incidents,Improper response to incidents,Ineffective remediation actions,Expense associated with managing a loss event,Inability to maintain situational awareness,Lack of a security-minded workforce,
Privacy,PRI-05(f),Personal Data (PD) Inventory Automation Support,PRI-05.6,Automated mechanisms exist to determine if Personal Data (PD) is maintained in electronic form.,1,Technical,Enhanced,Identify,x,x,,x,,,x,x,,,x,x,x,x,x,x,,,x,x,x,x,,,x,,x,x,,x,x,,
Privacy,PRI-06,Data Subject Access,PRI-06,Mechanisms exist to provide individuals the ability to access their Personal Data (PD) maintained in organizational systems of records.,10,Management,Basic,Identify,,,,,,,,,,,,x,x,x,x,x,,,x,x,x,x,,,x,,,,,,,,
Privacy,PRI-06(a),Redress Inaccurate Information,PRI-06.1,"Mechanisms exist to establish and implement a process for:
 ▪ Individuals to have inaccurate Personal Data (PD) maintained by the organization corrected or amended; and
 ▪ Disseminating corrections or amendments of PD to other authorized users of the PI.",10,Management,Basic,Respond,,,,x,,x,,x,,,,x,x,x,x,x,,,x,x,x,x,,,x,,,,,,,,
Privacy,PRI-06(b),Notice of Correction or Processing Change,PRI-06.2,Mechanisms exist to notify affected individuals if their Personal Data (PD) has been corrected or amended.,10,Management,Basic,Respond,,,,,,,,,,,,x,x,x,x,x,,,x,x,x,x,,,,,,,,,,,
Privacy,PRI-06(c),Appeal Adverse Decision,PRI-06.3,Mechanisms exist to provide an organization-defined process for individuals to appeal an adverse decision and have incorrect information amended.,10,Management,Basic,Respond,,,,x,,x,,x,,,,x,x,x,x,x,,,x,x,x,x,,,,,,,,,,,
Privacy,PRI-06(d),User Feedback Management,PRI-06.4,"Mechanisms exist to implement a process for receiving and responding to complaints, concerns or questions from individuals about the organizational privacy practices.",10,Management,Basic,Respond,,,,,,,,,,,,x,x,x,x,x,,,x,x,x,x,,,,,,,,,,,
Privacy,PRI-06(e),Right to Erasure,PRI-06.5,"Mechanisms exist to erase personal data of an individual, without delay.",10,Management,Basic,Respond,,,,,,,,,,,,x,x,x,x,x,,,x,x,x,x,,,,,,,,,,,
Privacy,PRI-06(f),Data Portability,PRI-06.6,"Mechanisms exist to export Personal Data (PD) in a structured, commonly used and machine-readable format that allows the data subject to transmit the data to another controller without hindrance.",10,Management,Basic,Identify,,,,,,,,,,,,x,x,x,x,x,,,x,x,x,x,,,,,,,,,,,
Privacy,PRI-06(g),Personal Data Exportability,PRI-06.7,Mechanisms exist to digitally export Personal Data (PD) in a secure manner upon request by the data subject.,5,Management,Basic,Identify,,,,,,,,,,,,x,x,x,x,x,,,x,x,x,x,,,,,,,,,,,
Privacy,PRI-07,Information Sharing With Third Parties,PRI-07,Mechanisms exist to discloses Personal Data (PD) to third-parties only for the purposes identified in the privacy notice and with the implicit or explicit consent of the data subject. ,10,All Users,Basic,Identify,,,,,,,,,,,,x,x,x,x,x,,,x,x,x,x,,,,,,,,,,,
Privacy,PRI-07(a),Privacy Requirements for Contractors & Service Providers ,PRI-07.1,Mechanisms exist to includes privacy requirements in contracts and other acquisition-related documents that establish privacy roles and responsibilities for contractors and service providers. ,10,Management,Basic,Identify,x,x,x,x,,x,,x,,,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,x,x,,x,x,,
Privacy,PRI-07(b),Joint Processing of Personal Data,PRI-07.2,Mechanisms exist to clearly define and communicate the organization's role in processing Personal Data (PD) in the data processing ecosystem. ,5,Management,Basic,Identify,x,x,x,x,,x,,x,,,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,x,x,,x,x,,
Privacy,PRI-07(c),Obligation To Inform Third Parties,PRI-07.3,"Mechanisms exist to inform applicable third-parties to any modification, deletion or other change that affects shared Personal Data (PD).",5,Management,Basic,Identify,,,,,,,,,,,,x,x,x,x,x,,,x,x,x,x,,,,,,,,,x,,
Privacy,PRI-07(d),Reject Unauthorized Disclosure Requests,PRI-07.4,Mechanisms exist to reject unauthorized disclosure requests.,5,Management,Basic,Identify,,,,x,,x,,x,,,,x,x,x,x,x,,,x,x,x,x,,,,,,,,,x,,
Privacy,PRI-08,"Testing, Training & Monitoring",PRI-08,"Mechanisms exist to implement a process for ensuring that organizational plans for conducting security and privacy testing, training and monitoring activities associated with organizational systems are developed and performed.
",8,All Users,Basic,Identify,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,x,x,x,x,x,x,
Privacy,PRI-09,Personal Data Lineage,PRI-09,"Mechanisms exist to utilize a record of processing activities to maintain a record of Personal Data (PD) that is stored, transmitted and/or processed under the organization's responsibility.",5,Management,Enhanced,Identify,,,,,,,,,,,,x,x,x,x,x,,,x,x,x,x,,,,,,,,,,,
Privacy,PRI-10,Data Quality Management,PRI-10,"Mechanisms exist to issue guidelines ensuring and maximizing the quality, utility, objectivity, integrity, impact determination and de-identification of Personal Data (PD) across the information lifecycle.",5,Management,Enhanced,Identify,,,,,,x,x,x,,,,x,x,x,x,x,,,x,x,x,x,,,,,,,,,,,
Privacy,PRI-10(a),Automation,PRI-10.1,Automated mechanisms exist to support the evaluation of data quality across the information lifecycle.,1,Management,Enhanced,Identify,,,,,,x,x,x,,,,x,x,x,x,x,,,x,x,x,x,,,,,,,,,,,
Privacy,PRI-10(b),Data Analytics Bias,PRI-10.2,Mechanisms exist to evaluate its analytical processes for potential bias.,5,Management,Enhanced,Identify,,,,,,x,x,x,,,,x,x,x,x,x,,,x,x,x,x,,,,,,,,,,,
Privacy,PRI-11,Data Tagging,PRI-11,Mechanisms exist to issue data modeling guidelines to support tagging of sensitive data.,3,Management,Enhanced,Identify,,,,,,x,x,x,,,,x,x,x,x,x,,,x,x,x,x,,,,,,,,,,,
Privacy,PRI-12,Updating Personal Data (PD),PRI-12,Mechanisms exist to develop processes to identify and record the method under which Personal Data (PD) is updated and the frequency that such updates occur.,9,Management,Enhanced,Identify,,,,,,x,x,x,,,,x,x,x,x,x,,,x,x,x,x,,,,,,,,,,,
Privacy,PRI-13,Data Management Board,PRI-13,Mechanisms exist to establish a written charter for a Data Management Board (DMB) and assigned organization-defined roles to the DMB.,3,Management,Enhanced,Identify,,,,,,x,x,x,,,,x,x,x,x,x,,,x,x,x,x,,,,,,,,,,,
Privacy,PRI-14,Privacy Records & Reporting,PRI-14,"Mechanisms exist to maintain privacy-related records and develop, disseminate and update reports to internal senior management, as well as external oversight bodies, as appropriate, to demonstrate accountability with specific statutory and regulatory privacy program mandates.",8,Management,Basic,Identify,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,x,x,x,x,x,x,
Privacy,PRI-14(a),Accounting of Disclosures,PRI-14.1,"Mechanisms exist to develop and maintain an accounting of disclosures of Personal Data (PD) held by the organization and make the accounting of disclosures available to the person named in the record, upon request.",8,Management,Basic,Identify,,,,,,,,,,,,x,x,x,x,x,,,x,x,x,x,,,x,,,,x,,x,,
Privacy,PRI-14(b),Notification of Disclosure Request To Data Subject,PRI-14.2,Mechanisms exist to notify data subjects of applicable legal requests to disclose Personal Data (PD).,5,Management,Enhanced,Identify,,,,,,,,,,,,x,x,x,x,x,,,x,x,x,x,,,x,,,,x,,x,,
Privacy,PRI-15,Register Database,PRI-15,"Mechanisms exist to register databases containing Personal Data (PD) with the appropriate Data Authority, when necessary.",10,Management,Basic,Identify,,,,,,,,,,,,x,x,x,x,x,,,x,x,x,x,,,x,,,,x,,x,,
Project & Resource Management,PRM-01,Security Portfolio Management,PRM-01,Mechanisms exist to facilitate the implementation of security and privacy-related resource planning controls that define a viable plan for achieving cybersecurity & privacy objectives.,10,Management,Basic,Identify,,,,,,,x,x,x,x,x,,,,,,x,,x,x,x,x,x,x,x,,x,,,x,,,
Project & Resource Management,PRM-01(a),Strategic Plan & Objectives,PRM-01.1,Mechanisms exist to establish a strategic cybersecurity and privacy-specific business plan and set of objectives to achieve that plan.,5,Management,Basic,Identify,,,,,,,x,x,x,x,x,,,,,,x,,x,x,x,x,x,x,x,,x,,,x,,,
Project & Resource Management,PRM-01(b),Targeted Capability Maturity Levels,PRM-01.2,Mechanisms exist to define and identify targeted capability maturity levels.,5,Management,Basic,Identify,,,,,,,x,x,x,x,x,,,,,,x,,x,x,x,x,x,x,x,,x,,,x,,,
Project & Resource Management,PRM-02,Security & Privacy Resource Management,PRM-02,"Mechanisms exist to address all capital planning and investment requests, including the resources needed to implement the security & privacy programs and documents all exceptions to this requirement. ",10,Management,Basic,Identify,,,,,,,x,x,x,x,x,,,,,,x,,x,x,x,x,x,x,x,,x,,,x,,,
Project & Resource Management,PRM-03,Allocation of Resources ,PRM-03,"Mechanisms exist to identify and allocate resources for management, operational, technical and privacy requirements within business process planning for projects / initiatives.",10,Management,Basic,Identify,,,,,,,x,x,x,x,x,,,,,,x,,x,x,x,x,x,x,x,,x,,,x,,,
Project & Resource Management,PRM-04,Security & Privacy In Project Management ,PRM-04,"Mechanisms exist to assess security and privacy controls in system project development to determine the extent to which the controls are implemented correctly, operating as intended and producing the desired outcome with respect to meeting the requirements.",10,Management,Basic,Identify,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,,x,,,x,x,,
Project & Resource Management,PRM-05,Security & Privacy Requirements Definition,PRM-05,"Mechanisms exist to identify critical system components and functions by performing a criticality analysis for critical systems, system components or services at pre-defined decision points in the Secure Development Life Cycle (SDLC). ",10,Management,Basic,Identify,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,,x,,,x,x,,
Project & Resource Management,PRM-06,Business Process Definition ,PRM-06,"Mechanisms exist to define business processes with consideration for cybersecurity and privacy that determines: 
 ▪ The resulting risk to organizational operations, assets, individuals and other organizations; and
 ▪ Information protection needs arising from the defined business processes and revises the processes as necessary, until an achievable set of protection needs is obtained.",10,Management,Basic,Identify,,,,,,,x,x,x,x,x,,,,,,x,,x,x,x,x,x,x,x,,x,,,x,,,
Project & Resource Management,PRM-07,Secure Development Life Cycle (SDLC) Management,PRM-07,Mechanisms exist to ensure changes to systems within the Secure Development Life Cycle (SDLC) are controlled through formal change control procedures. ,10,Management,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Project & Resource Management,PRM-08,Manage Organizational Knowledge,PRM-08,Mechanisms exist to manage the organizational knowledge of the cybersecurity and privacy staff.,5,Management,Basic,Protect,,,,,,,x,x,x,x,x,,,,,,x,,x,x,x,x,x,x,x,,x,,,x,,x,
Risk Management,RSK-01,Risk Management Program ,RSK-01,Mechanisms exist to facilitate the implementation of risk management controls.,10,All Users,Basic,Identify,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Risk Management,RSK-01(a),Risk Framing,RSK-01.1,"Mechanisms exist to identify:
 ▪ Assumptions affecting risk assessments, risk response and risk monitoring;
 ▪ Constraints affecting risk assessments, risk response and risk monitoring;
 ▪ The organizational risk tolerance; and
 ▪ Priorities and trade-offs considered by the organization for managing risk.",10,All Users,Basic,Identify,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Risk Management,RSK-02,Risk-Based Security Categorization ,RSK-02,"Mechanisms exist to categorizes systems and data in accordance with applicable local, state and Federal laws that:
 ▪ Document the security categorization results (including supporting rationale) in the security plan for systems; and
 ▪ Ensure the security categorization decision is reviewed and approved by the asset owner.",10,All Users,Basic,Identify,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Risk Management,RSK-03,Risk Identification,RSK-03,"Mechanisms exist to identify and document risks, both internal and external. ",10,All Users,Basic,Identify,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Risk Management,RSK-04,Risk Assessment ,RSK-04,"Mechanisms exist to conduct an annual assessment of risk that includes the likelihood and magnitude of harm, from unauthorized access, use, disclosure, disruption, modification or destruction of the organization's systems and data.",10,All Users,Basic,Identify,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Risk Management,RSK-04(a),Risk Register,RSK-04.1,Mechanisms exist to maintain a risk register that facilitates monitoring and reporting of risks.,10,Management,Basic,Identify,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Risk Management,RSK-05,Risk Ranking ,RSK-05,Mechanisms exist to identify and assign a risk ranking to newly discovered security vulnerabilities that is based on industry-recognized practices. ,10,All Users,Basic,Identify,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Risk Management,RSK-06,Risk Remediation ,RSK-06,Mechanisms exist to remediate risks to an acceptable level. ,10,All Users,Basic,Identify,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Risk Management,RSK-06(a),Risk Response,RSK-06.1,"Mechanisms exist to respond to findings from security and privacy assessments, incidents and audits to ensure proper remediation has been performed.",10,All Users,Basic,Identify,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Risk Management,RSK-07,Risk Assessment Update,RSK-07,"Mechanisms exist to routinely update risk assessments and react accordingly upon identifying new security vulnerabilities, including using outside sources for security vulnerability information. ",9,Management,Basic,Identify,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Risk Management,RSK-08,Business Impact Analysis (BIA) ,RSK-08,Mechanisms exist to conduct a Business Impact Analysis (BIA). ,10,All Users,Basic,Identify,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Risk Management,RSK-09,Supply Chain Risk Management (SCRM),RSK-09,"Mechanisms exist to develop a plan for Supply Chain Risk Management (SCRM) associated with the development, acquisition, maintenance and disposal of systems, system components and services, including documenting selected mitigating actions and monitoring performance against those plans.",10,All Users,Basic,Identify,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Risk Management,RSK-09(a),Supply Chain Risk Assessment,RSK-09.1,"Mechanisms exist to periodically assess supply chain risks associated with systems, system components and services.",10,Management,Enhanced,Identify,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Risk Management,RSK-10,Data Protection Impact Assessment (DPIA) ,RSK-10,"Mechanisms exist to conduct a Data Protection Impact Assessment (DPIA) on systems, applications and services to evaluate privacy implications.",10,All Users,Basic,Identify,,,,x,,,,x,,,,,x,x,x,x,,,x,x,x,x,x,x,,,,,,,,x,
Secure Engineering & Architecture ,SEA-01,Secure Engineering Principles ,SEA-01,"Mechanisms exist to facilitate the implementation of industry-recognized security and privacy practices in the specification, design, development, implementation and modification of systems and services.",10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Secure Engineering & Architecture ,SEA-01(a),Centralized Management of Cybersecurity & Privacy Controls,SEA-01.1,Mechanisms exist to centrally-manage the organization-wide management and implementation of cybersecurity and privacy controls and related processes.,10,Management,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Secure Engineering & Architecture ,SEA-02,Alignment With Enterprise Architecture ,SEA-02,"Mechanisms exist to develop an enterprise architecture, aligned with industry-recognized leading practices, with consideration for cybersecurity and privacy principles that addresses risk to organizational operations, assets, individuals, other organizations. ",10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Secure Engineering & Architecture ,SEA-02(a),Standardized Terminology,SEA-02.1,Mechanisms exist to standardize technology and process terminology to reduce confusion amongst groups and departments. ,3,Technical,Basic,Protect,,,,,,,,,x,,,,,,x,,,,x,,x,x,,,,,,,,,x,,
Secure Engineering & Architecture ,SEA-03,Defense-In-Depth (DiD) Architecture,SEA-03,Mechanisms exist to implement security functions as a layered structure minimizing interactions between layers of the design and avoiding any dependence by lower layers on the functionality or correctness of higher layers. ,10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Secure Engineering & Architecture ,SEA-03(a),System Partitioning ,SEA-03.1,Mechanisms exist to partition systems so that partitions reside in separate physical domains or environments. ,8,Technical,Basic,Protect,x,x,x,x,x,x,x,x,,x,x,,,,,,,x,x,x,x,x,,,,,x,,,x,,,
Secure Engineering & Architecture ,SEA-03(b),Application Partitioning,SEA-03.2,Mechanisms exist to separate user functionality from system management functionality. ,8,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,,x,x,,,,,,,x,x,x,x,x,,,,,x,,,x,,,
Secure Engineering & Architecture ,SEA-04,Process Isolation ,SEA-04,Mechanisms exist to implement a separate execution domain for each executing process. ,7,Technical,Basic,Protect,x,x,x,x,x,x,x,x,,x,x,,,,,,,x,x,x,x,x,,,,,x,,,x,,,
Secure Engineering & Architecture ,SEA-04(a),Security Function Isolation ,SEA-04.1,Mechanisms exist to isolate security functions from non-security functions. ,7,Technical,Basic,Protect,x,x,x,x,x,x,x,x,,x,x,,,,,,,x,x,x,x,x,,,,,x,,,x,,,
Secure Engineering & Architecture ,SEA-04(b),Hardware Separation,SEA-04.2,Mechanisms exist to implement underlying hardware separation mechanisms to facilitate process separation. ,7,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,,x,x,,,,,,,x,x,x,x,x,,,,,x,,,x,,,
Secure Engineering & Architecture ,SEA-04(c),Thread Separation,SEA-04.3,Mechanisms exist to maintain a separate execution domain for each thread in multi-threaded processing. ,7,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,,x,x,,,,,,,x,x,x,x,x,,,,,x,,,x,,,
Secure Engineering & Architecture ,SEA-05,Information In Shared Resources ,SEA-05,Mechanisms exist to prevent unauthorized and unintended information transfer via shared system resources. ,10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Secure Engineering & Architecture ,SEA-06,Prevent Program Execution,SEA-06,Automated mechanisms exist to prevent the execution of unauthorized software programs. ,10,Technical,Enhanced,Protect,,,x,x,x,x,x,x,x,x,,x,x,x,x,x,,x,x,x,x,x,,,,,,,,,,,
Secure Engineering & Architecture ,SEA-07,Predictable Failure Analysis ,SEA-07,Mechanisms exist to determine the Mean Time to Failure (MTTF) for system components in specific environments of operation.,5,Technical,Basic,Protect,x,x,x,x,x,x,x,x,,x,x,,,,,,,x,x,x,x,x,,,,,x,,,x,,,
Secure Engineering & Architecture ,SEA-07(a),Technology Lifecycle Management,SEA-07.1,Mechanisms exist to manage the usable lifecycles of systems. ,7,Technical,Basic,Protect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secure Engineering & Architecture ,SEA-07(b),Fail Secure,SEA-07.2,"Mechanisms exist to enable systems to fail to an organization-defined known-state for types of failures, preserving system state information in failure. ",8,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,,x,x,,,,,,,x,x,x,x,x,,,,,x,,,x,,,
Secure Engineering & Architecture ,SEA-07(c),Fail Safe,SEA-07.3,Mechanisms exist to implement fail-safe procedures when failure conditions occur. ,8,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,,x,x,,,,,,,x,x,x,x,x,,,,,x,,,x,,,
Secure Engineering & Architecture ,SEA-08,Non-Persistence ,SEA-08,Mechanisms exist to implement non-persistent system components and services that are initiated in a known state and terminated upon the end of the session of use or periodically at an organization-defined frequency. ,9,Technical,Basic,Protect,x,x,x,x,x,x,x,x,,x,x,,,,,,,x,x,x,x,x,,,,,x,,,x,,,
Secure Engineering & Architecture ,SEA-08(a),Refresh from Trusted Sources,SEA-08.1,Mechanisms exist to ensures that software and data needed for information system component and service refreshes are obtained from trusted sources.,5,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,,x,x,,,,,,,x,x,x,x,x,,,,,x,,,x,,,
Secure Engineering & Architecture ,SEA-09,Information Output Filtering ,SEA-09,Mechanisms exist to validate information output from software programs and/or applications to ensure that the information is consistent with the expected content. ,8,Technical,Basic,Protect,x,x,x,x,x,x,x,x,,x,x,,,,,,,x,x,x,x,x,,,,,x,,,x,,,
Secure Engineering & Architecture ,SEA-09(a),Limit Personal Data (PD) Dissemination,SEA-09.1,Mechanisms exist to limit the dissemination of Personal Data (PD) to organization-defined elements identified in the Data Protection Impact Assessment (DPIA) and consistent with authorized purposes.,10,All Users,Basic,Protect,x,,,x,,,,x,,,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,,,x,x,x,x,
Secure Engineering & Architecture ,SEA-10,Memory Protection ,SEA-10,Mechanisms exist to implement security safeguards to protect system memory from unauthorized code execution. ,10,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,,x,x,,,,,,,x,x,x,x,x,,,,,x,,,x,,,
Secure Engineering & Architecture ,SEA-11,Honeypots ,SEA-11,"Mechanisms exist to utilize honeypots that are specifically designed to be the target of malicious attacks for the purpose of detecting, deflecting and analyzing such attacks. ",3,Technical,Enhanced,Protect,,,x,x,x,x,x,x,,x,,,,,,,,x,x,x,x,x,,,,,,,,,,,
Secure Engineering & Architecture ,SEA-12,Honeyclients ,SEA-12,Mechanisms exist to utilize honeyclients that proactively seek to identify malicious websites and/or web-based malicious code. ,3,Technical,Enhanced,Protect,,,x,x,x,x,x,x,,x,,,,,,,,x,x,x,x,x,,,,,,,,,,,
Secure Engineering & Architecture ,SEA-13,Heterogeneity ,SEA-13,Mechanisms exist to utilize a diverse set of technologies for system components to reduce the impact of technical vulnerabilities from the same Original Equipment Manufacturer (OEM). ,3,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,,x,x,,,,,,,x,x,x,x,x,,,,,x,,,x,,,
Secure Engineering & Architecture ,SEA-13(a),Virtualization Techniques ,SEA-13.1,Mechanisms exist to utilize virtualization techniques to support the employment of a diversity of operating systems and applications.,6,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,,x,x,,,,,,,x,x,x,x,x,,,,,x,,,x,,,
Secure Engineering & Architecture ,SEA-14,Concealment & Misdirection ,SEA-14,Mechanisms exist to utilize concealment and misdirection techniques for systems to confuse and mislead adversaries. ,2,Technical,Enhanced,Protect,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,
Secure Engineering & Architecture ,SEA-14(a),Randomness,SEA-14.1,Automated mechanisms exist to introduce randomness into organizational operations and assets.,5,Technical,Enhanced,Protect,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,
Secure Engineering & Architecture ,SEA-14(b),Change Processing & Storage Locations,SEA-14.2,Automated mechanisms exist to change the location of processing and/or storage at random time intervals.,5,Technical,Enhanced,Protect,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,
Secure Engineering & Architecture ,SEA-15,Distributed Processing & Storage ,SEA-15,Mechanisms exist to distribute processing and storage across multiple physical locations. ,4,Technical,Enhanced,Protect,,,,,,,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,,,,,,,,,,,
Secure Engineering & Architecture ,SEA-16,Non-Modifiable Executable Programs ,SEA-16,"Mechanisms exist to utilize non-modifiable executable programs that load and execute the operating environment and applications from hardware-enforced, read-only media.",1,Technical,Enhanced,Protect,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,
Secure Engineering & Architecture ,SEA-17,Secure Log-On Procedures ,SEA-17,Mechanisms exist to utilize a trusted communications path between the user and the security functions of the system.,10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,,x,x,,,,,,,x,x,x,x,x,,,,,x,,,x,,,
Secure Engineering & Architecture ,SEA-18,System Use Notification (Logon Banner),SEA-18,Mechanisms exist to utilize system use notification / logon banners that display an approved system use notification message or banner before granting access to the system that provides privacy and security notices.,9,All Users,Basic,Protect,,,,,,,,,,,,x,x,x,x,x,,,,,x,x,x,x,,,,,,,,x,
Secure Engineering & Architecture ,SEA-18(a),Standardized Microsoft Windows Banner,SEA-18.1,Mechanisms exist to utilize displays a system use notification / logon banner for Active Directory (AD) users on Microsoft Windows devices before granting access to the system that provides privacy and security notices.,9,All Users,Basic,Protect,,,,,,,,,,,,x,x,x,x,x,,,,,x,x,x,x,,,,,,,,x,
Secure Engineering & Architecture ,SEA-18(b),Truncated Banner,SEA-18.2,"Mechanisms exist to utilize a truncated system use notification / logon banner on systems not capable of displaying a logon banner from a centralized source, such as Active Directory.",9,All Users,Basic,Protect,,,,,,,,,,,,x,x,x,x,x,,,,,x,x,x,x,,,,,,,,x,
Secure Engineering & Architecture ,SEA-19,Previous Logon Notification,SEA-19,"Mechanisms exist to configure systems that process, store or transmit sensitive data to notify the user, upon successful logon, of the number of unsuccessful logon attempts since the last successful logon.",3,Technical,Enhanced,Protect,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,
Secure Engineering & Architecture ,SEA-20,Clock Synchronization,SEA-20,Mechanisms exist to utilize time-synchronization technology to synchronize all critical system clocks. ,10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,,x,x,,,,,,,x,x,x,x,x,,,,,x,,,x,,,
Security Operations,OPS-01,Operations Security ,OPS-01,Mechanisms exist to facilitate the implementation of operational security controls.,10,Management,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Security Operations,OPS-01(a),Standardized Operating Procedures (SOP),OPS-01.1,"Mechanisms exist to identify and document Standardized Operating Procedures (SOP), or similar documentation, to enable the proper execution of day-to-day / assigned tasks.",10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,,x,x,,,,,,,x,x,x,x,x,,,,,x,,,x,,,
Security Operations,OPS-02,Security Concept Of Operations (CONOPS) ,OPS-02,"Mechanisms exist to develop a security Concept of Operations (CONOPS), or a similarly-defined plan for achieving cybersecurity objectives, that documents management, operational and technical measures implemented to apply defense-in-depth techniques that is communicated to all appropriate stakeholders. ",9,Technical,Enhanced,Protect,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,x,x,
Security Operations,OPS-03,"Service Delivery
(Business Process Support) ",OPS-03,"Mechanisms exist to define supporting business processes and implement appropriate governance and service management to ensure appropriate planning, delivery and support of the organization's technology capabilities supporting business functions, workforce, and/or customers based on industry-recognized standards to achieve the specific goals of the process area.",7,Technical,Basic,Protect,,,,,,,x,,x,,,,,,,x,,,x,x,x,x,x,x,x,,,,,,x,x,
